datetime,open,high,low,close,volume
2026-07-14 03:45:00,24092.75,24156.4,24050.55,24100.0,0
2026-07-14 04:15:00,24101.85,24101.85,24062.45,24085.15,0
2026-07-14 04:45:00,24086.65,24109.95,24038.6,24100.5,0
2026-07-14 05:15:00,24102.05,24146.35,24091.75,24139.2,0
2026-07-14 05:45:00,24141.2,24145.4,24096.05,24105.0,0
2026-07-14 06:15:00,24106.15,24126.95,24085.45,24091.9,0
2026-07-14 06:45:00,24093.35,24093.35,24054.85,24079.15,0
2026-07-14 07:15:00,24080.1,24097.0,24063.65,24081.45,0
2026-07-14 07:45:00,24082.95,24097.35,24038.55,24052.15,0
2026-07-14 08:15:00,24053.2,24073.25,24048.6,24064.45,0
2026-07-14 08:45:00,24066.3,24068.95,24040.3,24051.2,0
2026-07-14 09:15:00,24053.0,24075.0,24023.9,24052.05,0
2026-07-14 09:45:00,24052.5,24057.05,24027.45,24035.15,0
2026-07-15 03:45:00,24082.45,24217.85,24074.7,24195.1,0
2026-07-15 04:15:00,24195.9,24207.4,24173.5,24202.3,0
2026-07-15 04:45:00,24202.2,24220.05,24190.6,24207.75,0
2026-07-15 05:15:00,24207.45,24210.05,24171.0,24172.85,0
2026-07-15 05:45:00,24173.6,24214.65,24172.15,24174.4,0
2026-07-15 06:15:00,24174.2,24191.75,24166.8,24191.05,0
2026-07-15 06:45:00,24193.4,24194.35,24143.15,24160.1,0
2026-07-15 07:15:00,24160.15,24162.7,24010.95,24054.4,0
2026-07-15 07:45:00,24053.7,24087.45,24046.75,24061.6,0
2026-07-15 08:15:00,24061.3,24098.8,24044.85,24086.45,0
2026-07-15 08:45:00,24086.35,24107.05,24066.65,24101.5,0
2026-07-15 09:15:00,24099.85,24105.75,24061.05,24077.75,0
2026-07-15 09:45:00,24076.1,24091.3,24069.8,24073.45,0
2026-07-16 03:45:00,24140.7,24166.75,24097.3,24140.85,0
2026-07-16 04:15:00,24141.6,24145.75,24111.65,24126.45,0
2026-07-16 04:45:00,24128.4,24140.4,24107.45,24126.55,0
2026-07-16 05:15:00,24127.45,24186.0,24123.95,24157.9,0
2026-07-16 05:45:00,24159.1,24166.8,24142.1,24149.5,0
2026-07-16 06:15:00,24151.55,24155.4,24132.45,24133.9,0
2026-07-16 06:45:00,24136.3,24163.45,24126.35,24130.4,0
2026-07-16 07:15:00,24133.1,24136.25,24110.5,24120.6,0
2026-07-16 07:45:00,24120.95,24122.2,24053.2,24053.5,0
2026-07-16 08:15:00,24055.5,24101.6,24051.75,24091.55,0
2026-07-16 08:45:00,24094.15,24111.9,24079.7,24096.0,0
2026-07-16 09:15:00,24099.55,24126.55,24065.95,24071.1,0
