datetime,open,high,low,close,volume
2026-08-05 03:45:00,24669.2,24669.2,24619.05,24635.2,0
2026-08-05 03:50:00,24636.2,24642.15,24621.05,24625.3,0
2026-08-05 03:55:00,24626.1,24628.2,24611.45,24621.45,0
2026-08-05 04:00:00,24621.4,24624.05,24605.6,24611.05,0
2026-08-05 04:05:00,24610.65,24622.6,24604.95,24622.05,0
2026-08-05 04:10:00,24622.25,24635.95,24620.45,24627.95,0
2026-08-05 04:15:00,24628.05,24631.7,24621.6,24628.35,0
2026-08-05 04:20:00,24629.5,24630.5,24591.2,24591.2,0
2026-08-05 04:25:00,24592.1,24595.3,24581.7,24594.05,0
2026-08-05 04:30:00,24594.25,24620.6,24594.25,24612.0,0
2026-08-05 04:35:00,24612.15,24614.75,24588.45,24605.9,0
2026-08-05 04:40:00,24605.6,24623.2,24605.35,24620.9,0
2026-08-05 04:45:00,24621.25,24621.75,24601.7,24611.8,0
2026-08-05 04:50:00,24610.8,24618.9,24604.7,24615.9,0
2026-08-05 04:55:00,24616.0,24616.8,24580.7,24582.4,0
2026-08-05 05:00:00,24582.15,24583.1,24562.4,24580.05,0
2026-08-05 05:05:00,24580.15,24591.2,24575.1,24581.65,0
2026-08-05 05:10:00,24581.5,24605.05,24578.85,24594.4,0
2026-08-05 05:15:00,24594.4,24610.4,24593.9,24609.4,0
2026-08-05 05:20:00,24609.5,24619.55,24604.3,24617.2,0
2026-08-05 05:25:00,24616.2,24644.75,24615.4,24643.05,0
2026-08-05 05:30:00,24643.5,24657.15,24643.5,24648.3,0
2026-08-05 05:35:00,24647.95,24662.6,24625.65,24626.2,0
2026-08-05 05:40:00,24626.2,24640.65,24617.9,24631.4,0
2026-08-05 05:45:00,24631.45,24637.65,24622.05,24623.05,0
2026-08-05 05:50:00,24622.4,24629.15,24616.1,24619.6,0
2026-08-05 05:55:00,24619.55,24621.15,24608.0,24611.25,0
2026-08-05 06:00:00,24610.95,24612.25,24589.25,24590.1,0
2026-08-05 06:05:00,24590.2,24599.3,24586.5,24598.2,0
2026-08-05 06:10:00,24598.2,24601.1,24589.85,24594.4,0
2026-08-05 06:15:00,24594.4,24595.75,24583.05,24584.25,0
2026-08-05 06:20:00,24583.65,24584.95,24569.4,24574.3,0
2026-08-05 06:25:00,24573.7,24575.85,24561.75,24570.95,0
2026-08-05 06:30:00,24570.05,24579.05,24568.6,24575.6,0
2026-08-05 06:35:00,24575.85,24578.6,24571.9,24576.5,0
2026-08-05 06:40:00,24576.4,24577.5,24564.75,24573.6,0
2026-08-05 06:45:00,24572.85,24580.35,24566.3,24566.85,0
2026-08-05 06:50:00,24566.5,24576.8,24560.95,24571.95,0
2026-08-05 06:55:00,24571.9,24576.15,24564.1,24566.9,0
2026-08-05 07:00:00,24566.9,24568.3,24542.05,24543.85,0
